,Team,3PM,3PA,3P%
1,Atlanta Hawks,12,36.1,33.3
2,Boston Celtics,12.6,34.5,36.4
3,Brooklyn Nets,13.3,39.7,33.6
4,Chicago Bulls,12.1,34.3,35.2
5,Cleveland Cavaliers,12.2,35.1,34.8
6,Dallas Mavericks,11.2,31.8,35.1
7,Denver Nuggets,15.1,41.3,36.7
8,Detroit Pistons,11,30.6,35.9
9,Golden State Warriors,12,32.7,36.7
10,Houston Rockets,10.4,31.3,33.4
11,Indiana Pacers,15.6,45.3,34.5
12,Los Angeles Clippers,10.2,28.0,36.3
13,Los Angeles Lakers,12.4,33.5,37.1
14,Memphis Grizzlies,11,31.6,34.9
15,Miami Heat,10.9,31.5,34.7
16,Milwaukee Bucks,13.4,35.4,37.9
17,Minnesota Timberwolves,13.8,38.9,35.5
18,New York Knicks,9.6,28.4,33.7
19,Oklahoma City Thunders,10.7,28.5,37.6
20,Orlando Magic,10.7,30.2,35.5
21,Philadelphia 76ers,11.1,32.2,34.3
22,Phoenix Suns,11.6,31.6,36.8
23,Portland Trail Blazers,11.4,31.8,35.8
24,Sacramento Kings,12.9,34.1,37.7
25,San Antonio Spurs,12.7,34.9,36.4
26,Toronto Raptors,13.8,37.0,37.4
27,Utah Jazz,13.4,35.2,38.0
28,Washington Wizards,12,32.6,36.8
29,Charolette Hornets,13.1,38.1,34.3
30,New Orleans Pelicans,13.6,36.9,37.0
32,NBA(Average),12.2,34.1,35.8
