TEAMS,percenatge(1996-97),percenatge(1997-98),percenatge(1998-99),percenatge(1999-00),percenatge(2000-01),percenatge(2001-02),percenatge(2002-03),percenatge(2003-04),percenatge(2004-05),percenatge(2005-06),percenatge(2006-07),percenatge(2007-08),percenatge(2008-09),percenatge(2009-10),percenatge(2010-11),percenatge(2011-12),percenatge(2012-13),percenatge(2013-14),percenatge(2014-15),percenatge(2015-16),percenatge(2016-17),percenatge(2017-18),percenatge(2018-19),percenatge(2019-20)
Atlanta Hawks,36,33.2,30.6,31.7,34.9,35.4,35.2,33.5,31.2,36.7,32.9,35.6,36.6,36,35.2,37,37.1,36.3,38,35,34.1,36,35.2,33.3
Boston Celtics,35.1,33.2,36,33.1,33.3,35.9,33.4,34.6,34.9,36.2,36.7,38.1,39.7,34.8,36.5,36.7,35.8,33.3,32.7,33.5,35.9,37.7,36.5,36.4
Brooklyn Nets,35.3,33.1,33.1,34.7,35.1,33.8,33.2,33.6,36.2,33,36.3,34.8,37.6,31.8,34.3,34.2,35.7,36.9,33.2,33.8,34.9,35.7,35.1,33.6
Chicago Bulls,37.3,32.3,29,32.9,36.3,34.6,35,34.2,35.7,37.9,38.8,36.3,38.1,33,36.1,37.5,35.3,34.8,31.8,36.2,35.1,36.9,35.1,35.2
Cleveland Cavaliers,37.6,37.2,34.1,37.3,34.3,37.7,32.7,31.4,33.2,33.9,35.2,35.8,39.3,38.1,34.2,34.6,34.6,35.6,35.3,37.1,34,35.5,35.1,34.8
Dallas Mavericks,32.6,35.7,33.9,39.1,35.5,37.8,38.1,34.8,36.4,37.4,38.1,35.2,35,37.2,36.5,33.9,37.2,38.4,36.7,36.2,38.4,37.2,35.5,35.1
Denver Nuggets,37.2,32.3,32.8,33.6,33.9,32.9,27.8,33.6,34,32.5,33.6,35.5,37.1,35.9,38.8,33.2,34.3,35.8,35.2,34.4,35.5,36,34,36.7
Detroit Pistons,38.8,31.2,36.5,35.9,36.9,37.6,35.8,34.4,34.5,38.4,34.4,36.6,34.9,31.4,37.6,34.6,35.6,32.1,32.5,33.8,36.8,37.1,35.1,35.9
Golden State Warriors,35.3,27.2,28.3,32.3,35.7,32.2,34.4,33.4,35.2,34.1,35.6,34.8,37.3,37.5,39.2,38.8,40.3,38,34.4,34.5,33,37.3,34.8,36.7
Houston Rockets,36.5,34.3,36.8,35.8,35.7,33.5,34.6,36.6,36.4,33.2,37.2,34.2,37.5,35.1,36.7,35.9,36.6,35.8,39.8,41.6,38.3,39.1,38.5,33.4
Indiana Pacers,38.1,39,36.8,39.2,34.6,33.9,33.9,35.1,34.4,34.9,34.6,37.4,37.8,34.8,35.4,36.8,34.7,35.7,34.8,34.7,35.7,36.2,35.6,34.5
Los Angeles Clippers,35.4,35.8,32,33.9,38.1,35.6,33.1,32.1,34.5,34.4,34.8,32.4,35.4,33.2,33.8,35.7,35.8,35.2,35.2,35.1,37.6,36.9,37.4,36.3
Los Angeles Lakers,36.7,35.1,35.2,32.9,33.4,35.4,35.6,32.7,35.5,34.9,35.3,37.8,36.1,34.1,35.2,32.6,35.5,38.1,37.6,36.4,37.5,35.4,38.8,37.1
Memphis Grizzlies,34.9,36.2,32.7,36.1,38.1,30.7,36.5,34,35.7,37.4,36.7,34.9,36,33.7,33.4,32.6,34.5,35.3,34.4,31.7,34.6,34.5,33.3,34.9
Miami Heat,36.4,35.5,35.9,37.1,35.7,34.7,31.6,35.7,37.7,34.5,34.3,35.8,35.7,34.6,37,35.9,39.6,36.4,33.9,33.1,35.4,35.2,34.2,34.7
Milwaukee Bucks,35.2,35.4,37.3,36.9,35,37.5,38.3,35,35.1,38,35.6,34.4,36.3,35.6,34.2,34.5,36,35.3,33.5,33.6,36.5,36,34.9,37.9
Minnesota Timberwolves,33.9,34.7,29.8,34.6,35.4,37.8,36.8,36.3,34.5,32.9,35.3,35,35.3,34.1,37.6,33.2,30.5,34.1,36.3,34.5,37,35.5,35.3,35.5
New York Knicks,36.3,33.5,35.3,37.5,34.5,35.3,38.3,36.4,35.6,36.2,34.6,33.7,36,34.6,36.8,33.6,37.6,37.2,34.7,34.6,34.8,35.2,34,33.7
Oklahoma City Thunders,35.3,39.5,34.4,33.9,39.9,37.8,35.3,37.3,36.5,37.1,36.2,33.3,34.6,34,34.7,35.8,37.7,36.1,36.7,37.5,39.1,35.2,39.2,37.6
Orlando Magic,34.1,32.3,33,33.8,36.4,37.3,35.7,34.4,34.9,37.6,35.6,38.6,38.1,37.5,36.6,37.5,32.9,35.3,33.9,34.9,32.7,35.4,34.8,35.5
Philadelphia 76ers,31.9,30,26.4,32.3,37.9,29.9,31.1,34.2,34.8,36.4,34.5,31.7,31.8,34.3,35.5,36.2,36,31.2,34.7,35,32.8,35.1,35.6,34.3
Phoenix Suns,36.9,35.6,37.2,36.8,34.4,32.7,34.3,34.5,39.3,39.9,39.9,39.3,38.3,41.2,37.7,34.3,33,37.2,32,33.9,34,36.9,35.9,36.8
Portland Trail Blazers,35.8,30.9,36.4,36.1,32.4,35.4,33,34.6,36.2,34.9,34.6,37.7,38.3,35.4,34.5,34.6,35.3,37.2,34.1,34.8,33.2,33.4,32.9,35.8
Sacramento Kings,39.1,35.1,30.8,32.2,32.6,36.7,38.1,40.1,37.4,35.1,35,37.3,36.8,34.9,33.5,31.6,36.3,33.33,36.2,37,37.5,36.6,35.9,37.7
San Antonio Spurs,32,35,33,37.4,40.7,36.2,35.4,35.8,36.3,38.5,38.1,36.9,38.6,35.8,39.7,39.3,37.6,39.7,34.1,35.9,37.6,37.5,37.8,36.4
Toronto Raptors,36.3,34.3,34.1,36.3,29.3,34.9,34.3,35.6,38.5,37.5,36.3,39.2,37.2,37.1,31.6,34,34.3,37.2,35.2,37,36.3,35.8,36.6,37.4
Utah Jazz,37,37.2,36.1,38.5,34.2,33.3,34.9,32.1,32.8,33.6,33.5,37.2,34.9,36.4,34.6,32.3,36.6,34.4,34.3,35.5,37.2,36.6,35.6,38
Washington Wizards,33.1,33.9,30.9,37.6,31.5,38.8,31.2,34.2,34.3,35.7,34.8,35.6,33,35.3,33.2,32,36.5,38,36,35.8,37.2,37.5,34.1,36.8
Charolette Hornets,42.8,38.3,36.5,33.9,34.6,34.8,?,?,36.3,33.9,35.7,36.7,36.6,34.6,32.7,29.5,33.5,35.1,33.1,35.2,33.8,35.6,35.3,34.3
New Orleans Pelicans,?,?,?,?,,?,37.6,31.9,31.5,33.9,36.2,38.9,36.4,36.3,36,33.3,36.3,37.3,37,36,35,36.2,34.4,37
